week,topic,label,value,unit,source_url
6,민수용 주문과 제재의 경계,우크라이나 피란민,5.75,백만 명,https://www.unhcr.org/about-unhcr/overview/figures-glance
6,민수용 주문과 제재의 경계,우크라이나 실향민,3.75,백만 명,https://www.unhcr.org/about-unhcr/overview/figures-glance
6,민수용 주문과 제재의 경계,세계 난민,41.6,백만 명,https://www.unhcr.org/about-unhcr/overview/figures-glance
7,환율 이익은 팀의 성과인가,"1,200원/$",1.2,환율 가정별 10억 달러 매출 환산(조 원),https://ecos.bok.or.kr/
7,환율 이익은 팀의 성과인가,"1,350원/$",1.35,환율 가정별 10억 달러 매출 환산(조 원),https://ecos.bok.or.kr/
7,환율 이익은 팀의 성과인가,"1,500원/$",1.5,환율 가정별 10억 달러 매출 환산(조 원),https://ecos.bok.or.kr/
8,HBM 증설은 어디까지 앞당길 것인가,24Q1,12.43,분기 매출(조 원),https://news.skhynix.com/en/sk-hynix-announces-3q25-financial-results/
8,HBM 증설은 어디까지 앞당길 것인가,24Q3,17.57,분기 매출(조 원),https://news.skhynix.com/en/sk-hynix-announces-3q25-financial-results/
8,HBM 증설은 어디까지 앞당길 것인가,25Q2,22.23,분기 매출(조 원),https://news.skhynix.com/en/sk-hynix-announces-3q25-financial-results/
8,HBM 증설은 어디까지 앞당길 것인가,25Q3,24.45,분기 매출(조 원),https://news.skhynix.com/en/sk-hynix-announces-3q25-financial-results/
9,재고가 두 배일 때 감산해도 되는가,2024,627,세계 반도체 매출(십억 달러),https://www.wsts.org/76/Recent-News-Release
9,재고가 두 배일 때 감산해도 되는가,2025,795.6,세계 반도체 매출(십억 달러),https://www.wsts.org/76/Recent-News-Release
9,재고가 두 배일 때 감산해도 되는가,2026 전망,1510,세계 반도체 매출(십억 달러),https://www.wsts.org/76/Recent-News-Release
10,목표를 못 채운 프로젝트를 계속할 것인가,현재 약,10,EU 세계 반도체 점유율(%),https://digital-strategy.ec.europa.eu/en/policies/chips-act-2
10,목표를 못 채운 프로젝트를 계속할 것인가,2030 목표,20,EU 세계 반도체 점유율(%),https://digital-strategy.ec.europa.eu/en/policies/chips-act-2
11,"GPU 대기시간 40일, 누구에게 먼저 줄 것인가",소기업,11.9,기업의 AI 사용률(%),https://www.oecd.org/en/publications/generative-ai-and-the-sme-workforce_2d08b99d-en/full-report/component-3.html
11,"GPU 대기시간 40일, 누구에게 먼저 줄 것인가",중기업,20.4,기업의 AI 사용률(%),https://www.oecd.org/en/publications/generative-ai-and-the-sme-workforce_2d08b99d-en/full-report/component-3.html
11,"GPU 대기시간 40일, 누구에게 먼저 줄 것인가",대기업,40.1,기업의 AI 사용률(%),https://www.oecd.org/en/publications/generative-ai-and-the-sme-workforce_2d08b99d-en/full-report/component-3.html
12,주가 30% 상승을 수요 증거로 써도 되는가,봄 전망,700.9,2025 세계 반도체 시장 전망(십억 달러),https://www.wsts.org/76/PRESS-ARCHIVE
12,주가 30% 상승을 수요 증거로 써도 되는가,상반기 수정,728,2025 세계 반도체 시장 전망(십억 달러),https://www.wsts.org/76/PRESS-ARCHIVE
12,주가 30% 상승을 수요 증거로 써도 되는가,가을 전망,772,2025 세계 반도체 시장 전망(십억 달러),https://www.wsts.org/76/PRESS-ARCHIVE
12,주가 30% 상승을 수요 증거로 써도 되는가,실제,795.6,2025 세계 반도체 시장 전망(십억 달러),https://www.wsts.org/76/PRESS-ARCHIVE
14,자동화로 줄어든 시간을 누가 갖는가,일부 노출,25,세계 고용 비중(%),https://www.ilo.org/publications/generative-ai-and-jobs-refined-global-index-occupational-exposure
14,자동화로 줄어든 시간을 누가 갖는가,최고 노출,3.3,세계 고용 비중(%),https://www.ilo.org/publications/generative-ai-and-jobs-refined-global-index-occupational-exposure
14,자동화로 줄어든 시간을 누가 갖는가,그 외,75,세계 고용 비중(%),https://www.ilo.org/publications/generative-ai-and-jobs-refined-global-index-occupational-exposure
15,가스 경보 한 번에 라인을 세울 것인가,업무 관련 사망,2.93,"연간 인원(백만 명, 로그축 권장)",https://www.ilo.org/topics-and-sectors/safety-and-health-work
15,가스 경보 한 번에 라인을 세울 것인가,비치명적 부상,395,"연간 인원(백만 명, 로그축 권장)",https://www.ilo.org/topics-and-sectors/safety-and-health-work
16,공공 연구 코드를 어디까지 열 것인가,2023,3.55,세계 특허출원(백만 건),https://www.wipo.int/web-publications/world-intellectual-property-indicators-2025-highlights/en/patents-highlights.html
16,공공 연구 코드를 어디까지 열 것인가,2024,3.7,세계 특허출원(백만 건),https://www.wipo.int/web-publications/world-intellectual-property-indicators-2025-highlights/en/patents-highlights.html
18,최종 사용자가 불분명한 AI 칩을 팔 것인가,세계,2718,2024 군사비(십억 달러),https://www.sipri.org/publications/2025/sipri-fact-sheets/trends-world-military-expenditure-2024
18,최종 사용자가 불분명한 AI 칩을 팔 것인가,상위 5개국,1635,2024 군사비(십억 달러),https://www.sipri.org/publications/2025/sipri-fact-sheets/trends-world-military-expenditure-2024
18,최종 사용자가 불분명한 AI 칩을 팔 것인가,유럽,693,2024 군사비(십억 달러),https://www.sipri.org/publications/2025/sipri-fact-sheets/trends-world-military-expenditure-2024
18,최종 사용자가 불분명한 AI 칩을 팔 것인가,우크라이나,64.7,2024 군사비(십억 달러),https://www.sipri.org/publications/2025/sipri-fact-sheets/trends-world-military-expenditure-2024
19,학력을 가린 직무시험은 더 공정한가,중등 미만,100,교육수준별 상대임금 지수,https://www.oecd.org/en/topics/earnings-by-educational-attainment.html
19,학력을 가린 직무시험은 더 공정한가,중등,118,교육수준별 상대임금 지수,https://www.oecd.org/en/topics/earnings-by-educational-attainment.html
19,학력을 가린 직무시험은 더 공정한가,고등교육,200,교육수준별 상대임금 지수,https://www.oecd.org/en/topics/earnings-by-educational-attainment.html
23,다양성 목표를 달성했는데 이탈률이 두 배라면,연구자,31.7,여성 비중(%),https://www.unesco.org/en/science-technology-and-innovation/cta
23,다양성 목표를 달성했는데 이탈률이 두 배라면,STEM 졸업,35,여성 비중(%),https://www.unesco.org/en/science-technology-and-innovation/cta
23,다양성 목표를 달성했는데 이탈률이 두 배라면,G20 STEM 일자리,22,여성 비중(%),https://www.unesco.org/en/science-technology-and-innovation/cta
23,다양성 목표를 달성했는데 이탈률이 두 배라면,STEM 리더,10,여성 비중(%),https://www.unesco.org/en/science-technology-and-innovation/cta
25,5% 비싼 수리 가능한 설계를 택할 것인가,2022,62,전자폐기물 발생량(백만 톤),https://unitar.org/about/news-stories/press/global-e-waste-monitor-2024-electronic-waste-rising-five-times-faster-documented-e-waste-recycling
25,5% 비싼 수리 가능한 설계를 택할 것인가,2030 전망,82,전자폐기물 발생량(백만 톤),https://unitar.org/about/news-stories/press/global-e-waste-monitor-2024-electronic-waste-rising-five-times-faster-documented-e-waste-recycling
26,"연산당 전력 40% 절감, 사용량 3배면 친환경인가",2024 소비,415,데이터센터 전력소비(TWh),https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai
26,"연산당 전력 40% 절감, 사용량 3배면 친환경인가",2030 소비,945,데이터센터 전력소비(TWh),https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai
26,"연산당 전력 40% 절감, 사용량 3배면 친환경인가",2035 소비,1200,데이터센터 전력소비(TWh),https://www.iea.org/reports/energy-and-ai/energy-demand-from-ai
27,공용 GPU 70%를 최고 성과 팀에 줄 것인가,2023,60,산업계가 만든 주목할 AI 모델 비중(%),https://hai.stanford.edu/assets/files/ai_index_report_2026_chapter_1_research_development.pdf
27,공용 GPU 70%를 최고 성과 팀에 줄 것인가,2024,90,산업계가 만든 주목할 AI 모델 비중(%),https://hai.stanford.edu/assets/files/ai_index_report_2026_chapter_1_research_development.pdf
27,공용 GPU 70%를 최고 성과 팀에 줄 것인가,2025,91.2,산업계가 만든 주목할 AI 모델 비중(%),https://hai.stanford.edu/assets/files/ai_index_report_2026_chapter_1_research_development.pdf
28,비용이 25% 늘어도 팹 데이터를 국내에 둘 것인가,2017,21,상위 5개 디지털 다국적기업 매출 점유율(%),https://unctad.org/news/highly-concentrated-digital-markets-put-consumers-risk-heres-how-change-course
28,비용이 25% 늘어도 팹 데이터를 국내에 둘 것인가,2025,48,상위 5개 디지털 다국적기업 매출 점유율(%),https://unctad.org/news/highly-concentrated-digital-markets-put-consumers-risk-heres-how-change-course
30,성능이 두 배면 좋은 제품인가,한국,1901,"연간 노동시간(시간, 2022)",https://www.oecd.org/content/dam/oecd/en/publications/reports/2024/07/oecd-economic-surveys-korea-2024_9343c046/c243e16a-en.pdf
30,성능이 두 배면 좋은 제품인가,OECD 평균,1752,"연간 노동시간(시간, 2022)",https://www.oecd.org/content/dam/oecd/en/publications/reports/2024/07/oecd-economic-surveys-korea-2024_9343c046/c243e16a-en.pdf
