week,title,question,chaekmun_motif,primary_source,source_url
17,보안을 위해 직원 화면을 1년 보관해도 되는가,팹 보안을 위해 모든 직원의 화면과 통신 기록을 1년 동안 보관해도 되는가,법의 폐단과 권력의 자리,"국사편찬위원회, 세종실록 1447.08.05",https://waterfirst.github.io/Joseon-Dynasty-Civil-Service-Examination/#sejong-1447/0
18,최종 사용자가 불분명한 AI 칩을 팔 것인가,민수용 AI 가속기의 최종 사용자가 군과 연계됐다는 경보가 뜨면 합법적인 계약도 멈춰야 하는가,정벌인가 화친인가,"KRpia, 박광전 책문 항목",https://waterfirst.github.io/Joseon-Dynasty-Civil-Service-Examination/#seonjo-1568/0
19,학력을 가린 직무시험은 더 공정한가,학력 대신 직무과제를 쓰면 반도체 신입 채용은 실제로 더 공정해지는가,인재를 어떻게 구할 것인가,"국사편찬위원회 우리역사넷, 강희맹",https://waterfirst.github.io/Joseon-Dynasty-Civil-Service-Examination/#sejong-1447-talent/0
20,사양을 만족한 제품을 윤리 문제로 늦출 것인가,기술 사양을 충족했지만 사용자 피해 우려가 남아 있다면 신입 엔지니어도 출시 연기를 요청해야 하는가,이상정치를 현실로 만드는 법,"한국학중앙연구원, 1515년 알성시 방목",https://waterfirst.github.io/Joseon-Dynasty-Civil-Service-Examination/#jungjong-1515/0
21,상사의 결론과 다른 수율 데이터를 보고할 것인가,분기 실적 발표 직전에 상사의 결론과 다른 수율 데이터를 발견하면 신입사원도 즉시 보고해야 하는가,임진왜란 뒤 가장 시급한 일,"한국학중앙연구원, 1611년 시험 기록",https://waterfirst.github.io/Joseon-Dynasty-Civil-Service-Examination/#gwanghae-1611/0
22,"10GW 전력과 107만m³의 물, 지역이 더 부담해야 하는가",국가 반도체 클러스터를 위해 특정 지역이 송전선·용수·생활비용을 더 부담해야 하는가,호남의 일곱 폐단과 해법,"한국학중앙연구원 한국고문서자료관, 1798년 응제",https://waterfirst.github.io/Joseon-Dynasty-Civil-Service-Examination/#jeongjo-1798/0
23,다양성 목표를 달성했는데 이탈률이 두 배라면,채용 다양성 목표를 달성했어도 특정 집단의 2년 이탈률이 두 배라면 성공이라고 평가할 수 있는가,인재를 어떻게 구할 것인가,"국사편찬위원회 우리역사넷, 강희맹",https://waterfirst.github.io/Joseon-Dynasty-Civil-Service-Examination/#sejong-1447-talent/0
24,600시간 재교육을 무급으로 받아야 하는가,자동화로 직무가 사라질 때 필요한 600시간의 재교육 비용과 시간을 개인이 부담해야 하는가,교육은 어디로 가야 하는가,"책문 아카이브, 조종도 대책 전승 해설",https://waterfirst.github.io/Joseon-Dynasty-Civil-Service-Examination/#myeongjong-1558-education/0
25,5% 비싼 수리 가능한 설계를 택할 것인가,제품 가격이 5% 오르더라도 교체주기를 2년 늘리는 수리 가능한 설계를 선택해야 하는가,호남의 일곱 폐단과 해법,"한국학중앙연구원 한국고문서자료관, 1798년 응제",https://waterfirst.github.io/Joseon-Dynasty-Civil-Service-Examination/#jeongjo-1798/0
26,"연산당 전력 40% 절감, 사용량 3배면 친환경인가",새 AI 칩이 연산당 전력을 40% 줄여도 서비스 사용량이 세 배가 되면 친환경이라고 평가할 수 있는가,술의 폐해를 논하라,"한국민족문화대백과사전, 김구",https://waterfirst.github.io/Joseon-Dynasty-Civil-Service-Examination/#jungjong-1513-wine/0
27,공용 GPU 70%를 최고 성과 팀에 줄 것인가,한 초거대 모델의 성능을 높이기 위해 공용 GPU의 70%를 최고 성과 팀에 배정해도 되는가,법의 폐단과 권력의 자리,"국사편찬위원회, 세종실록 1447.08.05",https://waterfirst.github.io/Joseon-Dynasty-Civil-Service-Examination/#sejong-1447/0
28,비용이 25% 늘어도 팹 데이터를 국내에 둘 것인가,팹 데이터를 국내에 저장하면 협력사의 클라우드 비용이 25% 늘어도 데이터 현지화를 해야 하는가,법의 폐단과 권력의 자리,"국사편찬위원회, 세종실록 1447.08.05",https://waterfirst.github.io/Joseon-Dynasty-Civil-Service-Examination/#sejong-1447/0
29,퇴사자의 업무기록을 언제 지울 것인가,프로젝트 기록에 퇴사자의 개인정보가 남아 있을 때 완전삭제·비가시화·보존 가운데 무엇을 택해야 하는가,섣달그믐밤은 왜 서글픈가,"책문 아카이브, 이명한 대책 전승 해설",https://waterfirst.github.io/Joseon-Dynasty-Civil-Service-Examination/#gwanghae-1616/0
30,성능이 두 배면 좋은 제품인가,새 칩의 성능은 두 배지만 전력·교체비용·업무강도도 늘어난다면 성공이라고 평가해야 하는가,이상정치를 현실로 만드는 법,"한국학중앙연구원, 1515년 알성시 방목",https://waterfirst.github.io/Joseon-Dynasty-Civil-Service-Examination/#jungjong-1515/0
